Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,9955,22745,16,371125,"26724,14","14,48%","5,5","75,91","14176,2"
selectDeLanguage,8509,11679,47,183658,"19631,40","7,52%","4,7","20,74","4521,6"
LoginPageDE,7864,12291,98,369611,"20785,66","8,28%","4,3","62,86","14828,2"
userLogin,7205,32681,84,373363,"29098,68","20,68%","4,0","104,64","26961,9"
MainPage,5704,13324,237,187576,"20441,99","8,33%","3,2","93,69","30408,8"
PlayersPage,5226,13649,103,187239,"19149,64","7,71%","2,9","112,34","39800,2"
userSearchPlayer,4816,12699,300,182099,"18875,92","7,56%","2,7","29,84","11450,9"
userGoToStartPage,4448,12848,218,184255,"19409,37","7,55%","2,5","73,85","30654,0"
userGoToMatchesPage,4105,13010,306,232677,"20207,95","7,11%","2,2","89,28","41010,6"
userSearchMatch,3807,13523,231,185791,"17633,47","7,01%","2,1","23,98","11621,5"
userOpenMatch,6590,20051,535,211628,"22725,06","11,32%","3,6","401,90","114846,1"
userCloseMatch,2788,14242,652,382722,"18782,87","6,64%","1,6","48,20","31744,4"
StartPage,6194,12430,62,398304,"19692,52","7,46%","3,5","103,61","30682,9"
userGoToExersicePage,2418,13753,163,196970,"20371,35","7,15%","1,4","188,77","142525,9"
userOpenExercise,2245,13996,166,160721,"18258,81","7,97%","1,3","199,38","162039,3"
userGoToTrainingsPage,1910,12422,20,401946,"21623,23","7,49%","1,1","40,49","38628,0"
useerOpenTraining,1767,13866,552,174607,"17785,55","6,96%",",9","102,27","110799,1"
userCloseTraining,1642,11432,42,178806,"18453,45","6,88%",",9","35,04","38873,5"
userLogOut,1400,11601,112,132980,"18583,36","7,43%",",8","11,58","15048,7"
TOTAL,88593,16087,16,401946,"22471,22","9,69%","46,6","1734,52","38087,2"
